"","ObjectID","Proposed.Management.Action","Strategy","Scale","Resources","Data.Requirements","Lead.Organisation","Potential.Partners","Capital.Cost","In.Kind.Contributions","Maintainance.Required","Annual.Cost","Funding.Available","Completion.Date","District","Costing.Certainty","Funding.Shortfall","Funding_Status_TRUE","Shortfall_Captial","Shortfall_In.Kind","Shortfall_Annual","Conditioned_Total_Costings","Combined_Costings","Choosing.the.Costing.Variable","Filtered_Costings_Data"
"1019",7729,"Q","In lower section provide stock proof fencing where intensive grazing is an issue. In upper section of burn plant native broadleaf trees and shrubs with heavy duty guards and stakes. Remove tree guards once trees have reached a sufficient size.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",17700,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",17700,"Unfunded","Yes","No","No",NA,17700,17700,17700
"1020",7730,"Q","Install fenced compartments planted with native and locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",1e+05,0,"Yes",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",100000,"Unfunded","Yes","No","No",NA,1e+05,1e+05,1e+05
"1021",7731,"Q","Protect the instream habitat by planting broadleaf trees to provide shade. Remove conifer regeneration","1","","","Ayrshire Rivers Trust","Landowner, FLS and DSFB",91740,0,"Yes",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",91740,"Unfunded","Yes","No","No",NA,91740,91740,91740
"1022",7732,"Q","Plant native broadleaf trees with heavy duty stakes and guards. Remove guards once trees have reached a sufficent size.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",11220,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",11220,"Unfunded","Yes","No","No",NA,11220,11220,11220
"1024",7733,"Q","Plant native broadleaf trees with heavy duty stakes and guards. Remove guards once trees have reached a sufficent size.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",99000,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",99000,"Unfunded","Yes","No","No",NA,99000,99000,99000
"1025",7738,"Q","Install fencing in lower sections where grazing is more intensive. In uppersections plant native broadleaf trees with heavy duty tree guards and stakes. Remove tree guards once trees reach sufficient size.","1","","","Landowner","Ayrshire Rivers Trust, DFSB",12060,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",12060,"Unfunded","Yes","No","No",NA,12060,12060,12060
"1027",7792,"D","Development and delivery of a project","1","https://forthriverstrust.org/project/allan-water-project/","Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","Landowner
NatureScot
SEPA
Local Authority",192000,15000,"No",0,"Funding Secured","Within 1 Year","Forth","Very Confident",232000,"Funded","No","No","No",439000,207000,439000,439000
"1033",7796,"B","Removal of barrier to fish migration","1","https://forthriverstrust.org/project/lost-wee-weirs-of-the-forth/","Structure dimensions
LiDAR data
Level readings
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","Forth District Salmon Fishery Board
Developer",150000,15000,"No",0,"Funding Secured","Within 1 Year","Forth","Very Confident",150000,"Funded","Yes","No","No",NA,165000,165000,165000
"1036",7798,"B","Removal of barrier to fish migration","1","https://forthriverstrust.org/project/lost-wee-weirs-of-the-forth/","Structure dimensions
LiDAR data
Level readings
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)","Forth Rivers Trust","Forth District Salmon Fishery Board
Landowner",25000,5000,"No",0,"Funding Secured","Within 1 Year","Forth","Very Confident",25000,"Funded","Yes","No","No",NA,30000,30000,30000
"1037",2085,"H","Response informed by current science and best magement practice. Taking advice from MSS and ture Scot. The Board will respond to all development proposals in the harbour and inshore area and press for more evidence when the impacts on salmon and sea trout cannot be adequately assessed. The Board will push for disturbance-free periods during works to be related to environmental conditions suitable for adult fish migration, such as river flows and tides. Press for future offshore developments to be located so as to avoid key smolt migration routes. Seek support from MSS and Fisheries Magement Scotland (FMS) to ensure Scottish Government coordite tiol monitoring of impacts on salmon and sea trout to regulate offshore developments","2","Vattenfall report, Previous harbour smolt tracking reports","A better understanding of the migration routes of smolts and adult salmonids","Dee DSFB","RDT, ture Scot, SEPA, FMS, MSS, MS LOT, Port of Aberdeen, Developers",0,4000,"No",0,"Unfunded","Annual","Dee","Very Confident",0,"Unfunded","No","No","No",NA,4000,4000,4000
"1040",2091,"J","Seek for research to be carried out into the impact of dolphins on Dee salmon stocks in the harbour. Healthy salmon populations and healthy dolphin populations are linked, and this will be used to promote salmon conservation to the public as a wider message of protecting our tive marine wildlife.","2","","Accurate understanding of dolphin presence and behaviour. Also, better knowledge of dolphin diet from this area.","Dee DSFB","SMRU, FMS, MSS, tureScot, ShoreWatch",0,950,"No",0,"Unfunded","Annual","Dee","Very Confident",0,"Unfunded","No","No","No",NA,950,950,950
"1041",2279,"P","SLRT and ZSL tagged sea trout from 2 adjacent sea loch systems in 2021 and 2022 and tracked their movements in both the sea lochs and related rivers until early 2023 or until the tag life expires. The data will be published upon the study’s completion","2","https://slrt.org.uk/juvenile-salmonid-surveys-3/","","ZSL","SLRT, local ghillie",250000,0,"No",250000,"Funding Secured","Within 2 Years","Skye","Very Confident",0,"Funded","No","No","No",5e+05,5e+05,5e+05,5e+05
"1042",2301,"E","1) Work with Marine Scotland to conduct regular gillnetting searches in the coastal zone 2) Investigate reports of suspicious boats and forward details onto marine scotland","2","","","SFB","",0,9000,"Yes",0,"Unfunded","Annual","Spey","Very Confident",9000,"Unfunded","No","Yes","No",NA,9000,9000,9000
"1053",2910,"E","Coastal patrols will be undertaken in conjunction with the Spey Fishery Board bailiffs to look for illegal nets along the coast.","2","","","Deveron DSFB","Spey DSFB",0,0,"No",713,"Funding Secured","Annual","Deveron","Very Confident",0,"Funded","No","No","No",713,713,713,713
"1055",2970,"D","Liaise with netsman to secure purchase netting rights at two main netting stations within the Ness Estuarial limits. Negotiate permanent closure of three dormant netting stations.                                                                                                                                                     Secure funding for Net buy out","2","Annual catch returns for District","","NDSFB","Marine Scotland                                                                                                                                            Atlantic Salmon Trust                                                                                                                                        Atlantic salmon Conservation Trust                                                                                                               Local Net Operators                                                                                                                                       Beauly District salmon Fishery Board                                                                                                             Ness and Beauly Fisheries trust",70000,0,"No",0,"Funding Secured","Within 2 Years","Ness","Very Confident",0,"Funded","No","No","No",70000,70000,70000,70000
"1056",3145,"H","Response informed by current science and best management practice. Taking advice from MSS and Nature Scot. The Board will respond to all development proposals in the estuary and inshore area and press for more evidence when the impacts on salmon and sea trout cannot be adequately assessed. The Board will push for disturbance-free periods during works to be related to environmental conditions suitable for adult fish migration, such as river flows and tides. Press for future offshore developments to be located so as to avoid key smolt migration routes. Seek support from MSS and Fisheries Management Scotland (FMS) to ensure Scottish Government coordinate national monitoring of impacts on salmon and sea trout to regulate offshore developments.","2","Vattenfall report, Other Dee DSFB/RDT resources i.e. Harbour smolt tracking reports","A better understand of the migration routes of smolts and adult salmonids","Don DSFB","RDonT, Nature Scot, SEPA, FMS, MSS, MS LOT,  Developers",0,800,"No",0,"Unfunded","Annual","Don","Very Confident",0,"Unfunded","No","No","No",NA,800,800,800
"1057",2050,"O","Sample of Meig 2023 smolt run to determine the number of breeders contributing to the run above Loch Meig. All fish capture will be undertaken as part of routine trap and truck operations on the Meig at Strathconon","3","","Genetic samples","CFDSB","Cromarty Firth Fisheries  Trust, Institute of Biology and Freshwater conservation",25000,0,"Yes",10000,"Funding Secured","Within 5 Years","Cromarty","Very Confident",0,"Funded","No","No","No",35000,35000,35000,35000
"1058",2065,"B","Working with SSE to continue hatchery operations","3","","","Local DSFB","SSE",0,0,"",182314,"Funding Secured","Annual","Cromarty","Very Confident",0,"Funded","No","No","No",182314,182314,182314,182314
"1059",2077,"Q","Plant 1000 eggs per box at desired stocking density in the Blackwater mainstem. Egg boxes to be placed in reaches where sourcing gravel for redd building is impossible","3","","Stocking density requirements, juvenile density data","Local DSFB","SSE",1000,0,"No",1000,"Funding Secured","N/A","Cromarty","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"1060",2082,"L","Undertake electrofishing and inverterbrate and nutrient surveys across a panel of index sites","3","","","Local DSFB","Strathconon estate",0,0,"",5000,"Unfunded","More than 5 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,5000,5000,5000
"1062",2083,"L","Undertake electrofishing and inverterbrate and nutrient surveys across a panel of index sites","3","","","Local DSFB","Strathconon estate",0,0,"",5000,"Unfunded","More than 5 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,5000,5000,5000
"1065",2084,"L","Undertake electrofishing and inverterbrate and nutrient surveys across a panel of index sites","3","","","Local DSFB","Strathconon estate",0,0,"",5000,"Unfunded","More than 5 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,5000,5000,5000
"1067",2089,"J","The Board will continue to do coordited bird counts throughout the river to monitor goosander numbers and will provide this information to Scottish Government. Promote the need for licensing to protect salmon smolt production, given the evidence that bird numbers are healthy whereas salmon have shown huge declines. This will be done through our position on the tiol predator magement group, which includes Scottish Government and tureScot. Encourage bankside and instream cover to be left in situ and develop habitat restoration plans to restore floodplains and provide main stem cover to help protect smolts. Encourage stakeholder engagement with smolt shepherding and shoot to scre tactics during the smolt migration period.","3","Piscivorous bird diet study","Accurate knowledge of size of piscivorous bird populations Accurate knowledge of impact of these birds on salmon/trout numbers.","Dee DSFB","FMS, tureScot, MSS",1000,9146,"No",13646,"Unfunded","Annual","Dee","Very Confident",4500,"Unfunded","No","No","No",28292,23792,28292,28292
"1068",2094,"L","Monitoring of disease will continue and anyone noticing disease is encouraged to report it to the River Office. Communicate with ghillies, clubs and proprietors about disease risks and request help with monitoring. Report concerns to the Fish Health Inspectorate and help to sample diseased fish. Water temperature monitoring is being carried out by the Trust and links between temperatures and disease reports will be alysed.","3","","Knowledge of common fish diseases.","Dee DSFB","FHI, JHI, FMS",0,1310,"No",0,"Unfunded","Annual","Dee","Very Confident",0,"Unfunded","No","No","No",NA,1310,1310,1310
"1081",2095,"N","Angler and ghillie surveys will be carried out to understand barriers and find solutions to implementing biosecurity. The Board will use this information to expand efforts to encourage biosecurity measures, on ghillied and unghillied beats, and by all water users. Communications will promote the importance of biosecurity measures.","3","","","Dee DSFB","FMS, JHI",3500,1700,"No",2500,"Unfunded","Annual","Dee","Very Confident",5000,"Unfunded","No","No","No",12700,7700,12700,12700
"1082",2145,"P","Collaboration with academic specialist","3","","","Flow Country Rivers Trust","MSS, Instute of Zoology",0,0,"No",0,"Unfunded","Within 1 Year","Caithness","Very Confident",0,"Unfunded","No","No","No",NA,0,0,NA
"1083",2158,"J","The BDSFB believe it is necessary to increase the culling of pike where they are predating on juvenile salmon due to salmon stocks being low.  A particular concern is predation of smolts which can be prolonged during dry springs.  Anglers are being asked to target the catching and culling of pike, especially jack pike.  The 3 months prior to the smolt run are particularly important in the mid and lower river where predation can become very concentrated during low flow smolt runs.","3","GFT have completed diet studies on the Bladnoch pike population and where pike and juvenile salmon are living together then many fry/parr/smolts are being killed especially by jack pike.","No further surveys are required","BDSFB","all proprietors, local anglers",0,2000,"No",0,"Funding Secured","Annual","Bladnoch","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"1084",7484,"Q","Fencing may be required in selected areas to future proof against climate change by encouraging natural regeneration and succession.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",73320,NA,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",73320,"Unfunded","Yes","No","No",NA,73320,73320,73320
"1093",7509,"L","Electrofishing surveys, habitat surveys and barrier assessments etc.","5","","","Ayrshire Rivers Trust","DSFB",NA,NA,"Yes",NA,"Funding Secured","Annual","Stinchar","Very Confident",0,"Funded","No","No","No",0,0,0,NA
"1095",7621,"E","Continue to deploy Water Bailiff and Volunteer Water Bailiffs in the most effective way.  Build on relationships between staff and volunteers, continue with joint patrols with Police Scotland, and develop Incident Reporting Hotline.","5","N/A","N/A","Esk DSFB","Police Scotland",6000,0,"No",35000,"Funding Secured","Annual","Esk","Very Confident",0,"Funded","No","No","No",41000,41000,41000,41000
"1097",2161,"L","Undertake a programme of water quality monitoring in the winter/spring with particular focus on pH levels.  Sampling by both spot sampling and sondes.  Write up results for public sharing.   This would be part of a rolling programme across the Galloway rivers including the Bladnoch.  Ensure that any peatland restoration work taking place is adequately monitored to show water quality benefits.","3","https://www.nathonjones.com/files/2018%20BLADNOCH%20LIMING%20FEASIBILITY%20STUDY%20REPORT.pdf","","GFT","Bladnoch DSFB, NatureScot, SEPA",0,0,"No",3000,"Funding Secured","Within 5 Years","Bladnoch","Very Confident",6000,"Funded","No","No","No",9000,3000,9000,9000
"1098",7624,"O","Continue to support and work with the Scottish Invasive Species Initative to tackle INNS.  Monitor American Signal Crayfish Populations and work with ghillies, anglers, and Fisheries Management Scotland to record and monitor Pink salmon.","5","https://www.invasivespecies.scot/","Presence/absence and abundance of INNS in the catchments.  Effectiveness of control techniques.","NatureScot","EDSFB, ERFT, volunteers",0,3000,"No",4000,"Funding Secured","Annual","Esk","Very Confident",0,"Funded","No","No","No",7000,7000,7000,7000
"1112",7638,"N","Annual survey of impact of Saprolegnia on adult salmon.  Work with Fisheries Management Scotland and academic institutions to better understand the disease and what management actions could be taken to reduce the impacts.","5","https://www.gov.scot/publications/diseases-of-wild-and-farmed-finfish/pages/saprolegnia/","Number of fish affected annually as a percentage of the population","Esk DSFB","FMS, Fish Health Inspectorate, Aberdeen University",0,2000,"No",5000,"Partially Funded","More than 5 Years","Esk","Very Confident",0,"Funded","No","No","No",7000,7000,7000,7000
"1120",2163,"L","Suitable surveys are required to assess the number and species of birds present within the river system at key times of years.  Knowing the numbers of birds will allow an assessment to be made regarding the scale of any impact.","3","","Bird counts required.","BDSFB","",600,600,"No",0,"Funding Secured","Within 2 Years","Bladnoch","Very Confident",0,"Funded","No","No","No",1200,1200,1200,1200
"1121",7647,"F","Stabilise eroding river banks using locally sourced willow stakes and brash bundles. Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Remove plastic tree guards once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowners, DSFB, AECS, RSPB, Local Authority",243400,0,"No",NA,"Unfunded","Within 5 Years","Ayr","Very Confident",243400,"Unfunded","Yes","No","No",NA,243400,243400,243400
"1122",7648,"F","Identify areas of upwelling groundwater and adjacent available land to construct a reed bed system of settlement ponds to capture the iron rich water, allowing iron to precipitate and accumulate witin the settlement ponds before the treated effluent re-en","4","","","Ayrshire Rivers Trust","Landowner, SEPA, DSFB, Local Authority",NA,0,"Yes",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",NA,"Unfunded","No","No","No",NA,0,0,NA
"1129",2183,"L","Undertake an annual programme of water quality monitoring in the winter/spring with particular focus on pH levels.  Sampling by both spot sampling and sondes.  Write up results for public sharing.   This would be part of a rolling programme across the Galloway rivers including the Fleet.","3","","","GFT","FDSFB, NatureScot, SEPA",0,0,"No",3000,"Funding Secured","Within 5 Years","Fleet (Kircudbright)","Very Confident",3000,"Funded","No","No","Yes",NA,3000,3000,3000
"1130",7656,"L","Carry out Electrofishing to assess spawning and juvenile development areas. Identify if there is a problem with the habitat.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",NA,0,"Yes",NA,"Funding Secured","Annual","Doon","Very Confident",0,"Funded","No","No","No",0,0,0,NA
"1132",7658,"Q","Alternative tree planting strategy as a compromise for the location. Planting of  locally sourced broadleaf trees with guards and heavy duty stakes to protect from elements and herbivore activity as no fenced will be installed. Removal and recycling of plastic tree guards when trees reach a sufficient height. ","5","","","Ayrshire Rivers Trust","Landowner and DSFB",3300,0,"No",NA,"Unfunded","More than 5 Years","Doon","Very Confident",3300,"Unfunded","Yes","No","No",NA,3300,3300,3300
"1133",2187,"B","Undertake a visual check of all locations where roads / tracks cross significant water courses.  Record any fish barriers (including partial barriers) and suggest how to ease fish access over them.","3","","Survey required","GFT","FDSFB, FLS",0,0,"No",5250,"Unfunded","Within 2 Years","Fleet (Kircudbright)","Very Confident",10500,"Unfunded","No","No","No",15750,5250,15750,15750
"1134",2196,"L","Undertake an annual programme of water quality monitoring in the winter/spring with particular focus on pH levels.  Sampling by both spot sampling and sondes.  Write up results for public sharing.   This would be part of a rolling programme across the Galloway rivers including the Luce.  The Luce has data being collected in the winter 2022 / spring 2023.","3","Report will be available in the spring 2023","","GFT","Luce DSFB, NatureScot, SEPA",0,0,"No",3000,"Funding Secured","Within 2 Years","Luce","Very Confident",0,"Funded","No","No","No",3000,3000,3000,3000
"1139",7665,"L","Carry out survey work to establish remanant population of FWPM. Address pollution inputs which would be affecting the water conditions and habitat. Potetnial restoration stocking of FWPM or possibly innoculate salmon parr with glochidia.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",15000,0,"Yes",NA,"Unfunded","N/A","Doon","Very Confident",15000,"Unfunded","Yes","No","No",NA,15000,15000,15000
"1143",7669,"L","Electrofishing surveys, habitat surveysand barrier assessments etc.","5","","","Ayrshire Rivers Trust","DSFB",NA,0,"Yes",3000,"Funding Secured","Annual","Doon","Very Confident",0,"Funded","No","No","No",3000,3000,3000,3000
"1144",7670,"E","Secure volunteer baliffs and train to IFM standards","5","","","DSFB","Ayrshire Rivers Trust",NA,0,"Yes",2500,"Funding Secured","Annual","Doon","Very Confident",0,"Funded","No","No","No",2500,2500,2500,2500
"1149",7675,"L","Conduct SNIFFER assessments to assess passability of barriers to upstream and downstream migration of Trout, Salmon and Eel. Help prioritise barrier removal or easement.","4","","Barrier owner information","SEPA","Ayrshire Rivers Trust, DSFB, DRAX, Angling Clubs, Landowner, Barrier Owner",8000,0,"No",NA,"Unfunded","More than 5 Years","Doon","Very Confident",4000,"Unfunded","No","No","No",12000,8000,12000,12000
"1153",2251,"J","Conduct bi-annual piscivorous bird counts to establish populations. Apply for a licence and conduct a shoot to scare policy alongside other non-lethal scaring techniques.  Continue to implement and refine non-lethal scaring techniques to protect stocks of fish. Non-lethal methods of scaring piscivorous birds include bird scaring projectiles, catapults and green lasers.","3","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Marine Directorate of Scottish Government, Fishery Management Scotland",0,30000,"No",30000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",60000,60000,60000,60000
"1154",2278,"P","Trained SLRT staff tagged 100 salmon smolts in the spring of 2023, after which the fish were released and their movements in Loch Snizort tracked through an array of receivers. The data will feed into a larger West Coast project being delivered by AST.","3","https://missingsalmonalliance.org/west-coast-tracking-project","","AST","SLRT, local ghillie",10000,0,"No",10000,"Funding Secured","Within 2 Years","Skye","Very Confident",0,"Funded","No","No","No",20000,20000,20000,20000
"1155",2292,"L","1) Conduct a 5 year electrofishing survey that covers sites both above and below the Truim hydropower intake 2) Produce a report of the results for SSE","3","","","SSE","",5000,1000,"No",0,"Funding Secured","Within 2 Years","Spey","Very Confident",0,"Funded","No","No","No",6000,6000,6000,6000
"1156",2344,"L","assess next steps based on outcomes of study","3","Consultancy outputs","","Spey catchment initiative","CNPA, NS",8000,2000,"No",0,"Funding Secured","Within 1 Year","Spey","Very Confident",0,"Funded","No","No","No",10000,10000,10000,10000
"1157",2352,"A","Offer training for Anglers, work with Schools in local area to increase uptake of Angling and provide lower cost permits to Under 16's and first time Anglers. Also lower cost access to River during Peterhead ""Scottish Week"" gala.","3","UAA volunteers and support with tuition from Angling Retailers.","","Ugie Angling Association.","Ugie DSFB",0,2000,"No",0,"Unfunded","Annual","Ugie","Very Confident",0,"Unfunded","No","No","No",NA,2000,2000,2000
"1158",2353,"O","Continue working to control INNS.","3","https://www.nature.scot/professional-advice/protected-areas-and-species/protected-species/scottish-invasive-species-initiative","","Deveron Isla and Bogie River Trust.","Ugie Angling Association.",0,1000,"No",0,"Partially Funded","Annual","Ugie","Very Confident",0,"Funded","No","No","No",1000,1000,1000,1000
"1159",2354,"F","Create a plan to identify what needs to be done and when to improve habitat and to tackle reasons for degradation.","3","Initially employ an expert to survey sections of the river. Once we have formed a plan ongoing work (not included in this cost) would require work from the Propietor, UDSFB, UAA and probably contractors.","","Ugie DSFB","Ugie Angling Association.",0,11100,"Yes",2000,"Unfunded","Within 1 Year","Ugie","Very Confident",11100,"Unfunded","No","Yes","No",NA,13100,13100,13100
"1161",2355,"F","Identify what needs to be done to improve Salmon and sea Trout spawning grounds and to produce plans to deliver improvement.","3","Employ an expert to survey sections of the river and train volunteers to carry on the work. Removal of silt and weeds would involve the UAA and possibly contractors.","","Ugie DSFB","Ugie Angling Association.",0,8100,"Yes",2000,"Unfunded","Within 1 Year","Ugie","Very Confident",8100,"Unfunded","No","Yes","No",NA,10100,10100,10100
"1163",2911,"E","Patrols along the River Deveron throughout the season and with Police Scotland where possible","3","","Inteligence from anglers and river owners","Deveron DSFB","DBIRT, Police Scotland",0,0,"No",23758,"Funding Secured","Annual","Deveron","Very Confident",0,"Funded","No","No","No",23758,23758,23758,23758
"1164",2914,"J","Attempt to minimise piscivorous bird predation through smolt shepherding and scaring piscivorous birds using the shoot as an aid to scare licence secured via the Moray Firth Sawbill Management Group from Nature Scot. To secure this licence bird counts need to be conducted in March and April but the Deveron DSFB has extended these counts to also inlcude the Autumn and winter months when there are are aslo significant numbers of piscivorous birds in the catchment.","3","","Piscivorous bird counts throughout winter months","DBIRT","Deveron DSFB, MF Sawbill Management Group",0,3037,"No",1158,"Funding Secured","Annual","Deveron","Very Confident",1500,"Funded","No","No","No",5695,4195,5695,5695
"1165",2915,"J","Document the prescence of rogue predatory seals in the Deveron and damage caused to use as evidence to apply for licence from MSLOT to allow marksman to remove rogue seals that enter the Deveron. Operate mobile seal scaring device. ","3","","Evidence of seals in river and damage caused.","Deveron DSFB","DBIRT, MD, SMRU",0,200,"No",0,"Partially Funded","Annual","Deveron","Very Confident",5140,"Funded","No","No","No",5340,200,5340,5340
"1167",2933,"G","Identify where trees are most needed then work with landowners and funders to develop riparian deciduous tree planting projects to provide shade and minimise river warming.","3","https://webarchive.nrscotland.gov.uk/3000/https://www.gov.scot/Resource/0053/00537002.pdf","Data on areas of catchment most at risk from warming","DBIRT","Deveron DSFB, AST",0,0,"Yes",0,"Funding Secured","Within 5 Years","Deveron","Very Confident",60000,"Funded","No","No","No",60000,0,60000,60000
"1168",2992,"O","Plant control at a local scale (the main river, so all the plants are removed and there is nothing left to re-infest rivers downstream.                                                                                                                                                          Develop an effective network of volunteers to assist with invasive non-native plant control via the Scottish Invasive Species Initiative (SISI).","3","SISI Reporting Tool                                                       Historical Sightings                                                      Public Reporting                                           Volunteer Participation","","SISI","SEPA                                                                                                                                                                 NatureScot                                                                                                                                                                      SISI Project                                                                                                                                                                             Local community groups.",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"1169",2993,"O","Plant control at a local scale so all the plants are removed and there is nothing left to re-infest rivers downstream.                                                                                                                                                                      Develop an effective network of volunteers to assist with invasive non-native plant control via the Scottish Invasive Species Initiative (SISI).","3","SISI Reporting Tool                                                       Historical Sightings                                                      Public Reporting                                           Volunteer Participation","","SISI","SEPA                                                                                                                                                                 NatureScot                                                                                                                                                                      SISI Project                                                                                                                                                                             Local community groups.",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"1170",2994,"K","Record rod or net captures of pink salmon in the Ness district.                                                                                  Carry out spawning surveys and redd counts in odd years.                                                                              Collaborate in pink salmon research (including eDNA studies) to help build and understanding of the potential impacts of this non-native species.","3","Anglers Reports                                                             National Reports","","NDSFB","Marine Scotland                                                                                                                                            NatureScot                                                                                                                                                           UHI – Rivers and Lochs Institute                                                                                                                            SEPA                                                                                                                                                                              CEFAS                                                                                                                                                                              FMS                                                                     Angling Community",0,0,"No",1000,"Funding Secured","More than 5 Years","Ness","Very Confident",0,"Funded","No","No","No",1000,1000,1000,1000
"1171",3013,"E","Maintain overt and covert patrols of vulnerable areas to deter or detect any illegal fishing activity","3","Reference to previous incidents with regard to illegal activities - Bailliff reports","Previous bailiff reports","NDSFB","Police Scotland                                                                                                                                                                     Local Community",0,0,"Yes",60000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",60000,60000,60000,60000
"1172",7698,"B","Continue to monitor fish and invertebrate populations. Manage levels of large woody debris to prevent migratory blockages.","4","","","Ayrshire Rivers Trust","Landowners, DSFB",NA,0,"Yes",NA,"Funding Secured","Annual","Girvan","Very Confident",0,"Funded","No","No","No",0,0,0,NA
"1173",7699,"E","Secure volunteer baliffs and train to IFM standards","5","","","DSFB","",NA,0,"Yes",NA,"Funding Secured","Annual","Girvan","Very Confident",0,"Funded","No","No","No",0,0,0,NA
"1174",3034,"D","Continuation of the ‘Upper Garry Salmon Restoration Project’, including monitoring and adaptive management where necessary. Move into phase two of the project, last ova to be stocked in 2024. Emphasis on monitoring and habitat improvements.","3","","","NDFSB","SSE, MOWI, UHI RLI, SEPA.",0,0,"Yes",500000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5e+05,5e+05,5e+05,5e+05
"1176",3041,"Q","Assess scale and extent of hydro related changes to the thermal region in the and potential impacts on salmon populations, Review flow regime, or other mitigation measures to provide better environmental conditions in Gearr garry.","3","","","NDFSB","SEPA, SSE",0,0,"No",2000,"Funding Secured","More than 5 Years","Ness","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"1177",3053,"Q","To date riparian tree planting has focussed on Black water of Dee tributaries - these need on-going maintenance, beaten up and tree guards removed once trees are of suffient size (~5 years after planting).  The next priority area is the banks of the Black Water of Dee.  Some of these waters will need riparian conifer regen removed before hard woods planted.  Adequate tree protection and on-going maintenance will be required.  Aim to plant up minimum of 1,000 trees annually for next 2-3 years.","3","https://www.gov.scot/publications/scotland-river-temperature-monitoring-network-srtmn/","On-going surveys required to check on health of planted trees and undertake maintenance as required (including cutting conifer regen).","GFT","KDDSFB, FLS, private forest interests,",0,0,"Yes",10000,"Funding Secured","Within 3 Years","Dee (Kircudbright)","Very Confident",0,"Funded","No","No","No",10000,10000,10000,10000
"1178",3063,"F","Continue with habitat restoration works which include gravel addition, native riparian tree planting and conifer regen removal","3","","Annual monitoring required","GFT","SEPA, NatureScot, KDDSFB, FLS, DRAX",180000,0,"Yes",0,"Partially Funded","Within 3 Years","Dee (Kircudbright)","Very Confident",0,"Funded","No","No","No",180000,180000,180000,180000
"1181",7707,"H","Employment of a Catchment officer to monitor spread of INNS, Agricultural pollution and other incidents. Provide training to identify ","4","","","Ayrshire Rivers Trust","NatureScot, RSPB, SRUC",NA,0,"Yes",30000,"Unfunded","More than 5 Years","Girvan","Very Confident",30000,"Unfunded","No","No","Yes",NA,30000,30000,30000
"1184",7710,"O","Continue to support the control of Japanese knotweed across the catchment through targeted control using stem injection methods. With with partners across the catchment to record and control any new infestations.","5","","","Ayrshire Rivers Trust","Landowner, DSFB, Local Authorities, other wildlife and environmental organisations, NatureScot, private home owners",150000,0,"Yes",10000,"Unfunded","More than 5 Years","Stinchar","Very Confident",154000,"Unfunded","No","No","No",314000,160000,314000,314000
